Name,Location,Year Manufactured,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Price,Mileage (kmpl),Engine Capacity(cc),BrakeHorsePower (bhp),New_Price (in lakhs),Car Age
Renault KWID 1.0 RXT Optional AMT,Kochi,2017,53105,Petrol,Automatic,First,5,4.41,22.5,999,67.0,4.93,5
Maruti Wagon R VXI AMT,Mumbai,2018,1997,Petrol,Automatic,First,5,4.45,22.5,998,67.0,6.14,4
Skoda Superb Style 1.8 TSI AT,Hyderabad,2017,26000,Petrol,Automatic,First,5,26.0,14.67,1798,177.46,33.58,5
Tata Tiago 1.2 Revotron XZ WO Alloy,Hyderabad,2017,16500,Petrol,Manual,First,5,5.0,23.84,1199,84.0,6.29,5
Maruti Vitara Brezza ZDi,Coimbatore,2017,21789,Diesel,Manual,First,5,9.88,24.3,1248,88.5,11.0,5
Maruti Celerio CNG VXI MT,Kochi,2016,70536,CNG,Manual,First,5,4.58,31.79,998,58.33,5.87,6
Mercedes-Benz GLA Class 200 d Sport,Pune,2017,35000,Diesel,Automatic,First,5,23.5,17.9,2143,136.0,41.94,5
Hyundai Xcent 1.2 VTVT S,Bangalore,2014,54000,Petrol,Manual,First,5,5.5,20.14,1197,81.86,7.85,8
Volkswagen Polo GT TSI,Coimbatore,2017,50534,Petrol,Automatic,First,5,8.27,17.21,1197,103.5,11.66,5
Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,5,4.5,18.2,1199,88.7,8.61,11
Hyundai Grand i10 1.2 Kappa Sportz,Ahmedabad,2015,20780,Petrol,Manual,First,5,4.3,18.9,1197,81.86,6.82,7
Honda City i-VTEC V,Delhi,2011,67031,Petrol,Manual,First,5,4.0,17.4,1497,117.3,11.85,11
Jeep Compass 1.4 Limited Option,Mumbai,2017,4000,Petrol,Automatic,First,5,17.75,16.0,1368,160.0,23.68,5
Tata Zest Quadrajet 1.3 75PS XE,Kolkata,2017,45000,Diesel,Manual,First,5,3.75,22.95,1248,74.0,7.94,5
Land Rover Range Rover Sport SE,Delhi,2014,47000,Diesel,Automatic,Second,5,64.75,12.65,2993,255.0,1.39,8
BMW 3 Series 320d,Mumbai,2010,67000,Diesel,Automatic,Second,5,9.25,22.69,1995,190.0,47.87,12
BMW 5 Series 530d M Sport,Chennai,2010,58000,Diesel,Automatic,First,5,11.75,18.59,2993,265.0,79.78,12
Skoda Rapid 1.5 TDI Ambition,Coimbatore,2018,5833,Diesel,Manual,First,5,11.92,21.13,1498,108.4,14.22,4
Maruti Baleno Alpha CVT,Mumbai,2018,3000,Petrol,Automatic,First,5,8.85,21.4,1197,83.1,10.3,4
Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,2016,37429,Petrol,Manual,First,5,5.89,18.9,1197,81.86,8.1,6
Hyundai Xcent 1.2 CRDi S,Kolkata,2017,51000,Diesel,Manual,First,5,4.2,25.4,1186,73.97,8.23,5
Hyundai Verna CRDi 1.4 E,Chennai,2008,121097,Diesel,Manual,Second,5,1.9,24.0,1396,88.76,10.73,14
Jeep Compass 2.0 Sport,Hyderabad,2017,37000,Diesel,Manual,First,5,16.9,17.1,1956,170.0,19.91,5
Mini Cooper 5 DOOR D,Kochi,2019,14857,Diesel,Automatic,First,5,31.55,20.7,1496,113.98,41.98,3
Mahindra XUV300 W8 Diesel,Chennai,2012,97000,Diesel,Manual,First,5,7.25,20.0,1497,115.0,12.79,10
Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,2015,40600,Petrol,Automatic,First,5,7.2,17.0,1591,121.3,15.14,7
BMW 5 Series 520d Luxury Line,Coimbatore,2016,75637,Diesel,Automatic,First,5,30.37,22.48,1995,190.0,71.82,6
Maruti Celerio VXI AMT,Chennai,2015,55000,Petrol,Automatic,First,5,3.5,23.1,998,67.04,6.0,7
Toyota Innova Crysta 2.8 ZX AT,Chennai,2016,80000,Diesel,Automatic,First,7,19.5,11.36,2755,171.5,26.95,6
Toyota Innova Crysta 2.4 ZX MT,Ahmedabad,2016,54000,Diesel,Manual,First,7,16.5,13.68,2393,147.8,23.14,6
Datsun redi-GO S,Chennai,2016,26239,Petrol,Manual,First,5,2.75,22.7,799,53.0,4.43,6
Hyundai Creta 1.6 SX Option Diesel,Coimbatore,2016,47392,Diesel,Manual,First,5,13.82,20.5,1582,126.2,19.18,6
Ford EcoSport 1.5 Diesel Titanium,Delhi,2017,39000,Diesel,Manual,First,5,8.45,23.0,1498,98.96,11.47,5
Mini Cooper 5 DOOR D,Mumbai,2016,11000,Diesel,Automatic,First,5,29.5,20.7,1496,113.98,42.12,6
Maruti Vitara Brezza ZDi Plus AMT Dual Tone,Chennai,2018,3300,Diesel,Automatic,First,5,11.5,24.3,1248,88.5,12.88,4
Tata Tiago AMT 1.2 Revotron XZA,Pune,2018,2000,Petrol,Automatic,First,5,5.0,23.84,1199,83.83,6.94,4
Maruti Eeco 7 Seater Standard,Chennai,2016,55000,Petrol,Manual,First,7,3.75,15.1,1196,73.0,4.87,6
Hyundai Creta 1.6 SX Option Diesel,Bangalore,2016,93000,Diesel,Manual,First,5,10.8,20.5,1582,126.2,19.18,6
Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Petrol,Manual,Second,5,6.98,16.09,1598,103.5,12.33,8
Renault KWID RXT Optional,Hyderabad,2018,1900,Petrol,Manual,First,5,4.45,25.17,799,53.3,4.8,4
Maruti Wagon R VXI,Kochi,2014,41994,Petrol,Manual,First,5,3.41,22.5,998,67.04,5.12,8
Skoda Rapid 1.5 TDI Style,Hyderabad,2017,31000,Diesel,Manual,First,5,10.5,21.13,1498,108.4,15.38,5
Hyundai Xcent 1.2 VTVT E,Pune,2018,40000,Petrol,Manual,First,5,5.0,20.14,1197,81.86,6.71,4
Toyota Innova Crysta 2.8 ZX AT,Kochi,2017,26023,Diesel,Automatic,First,7,19.97,11.36,2755,171.5,26.55,5
Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,Diesel,Manual,First,5,8.63,24.3,1248,88.5,11.12,4
Mercedes-Benz GLE 350d,Coimbatore,2018,30706,Diesel,Automatic,First,5,59.29,11.57,2987,254.79,95.13,4
